,category,text
102,6,unable to setup email bill NUM
103,1,page my account is not responsive
104,5,app wont show her balance info
105,0,no 4d result retrieved after dialing 106 107 for NUM
106,1,myaccess password reset
107,2,pending cancellation order in dpm
108,1,request to reset my access password
109,6,migs patching request for txn date 19 20 dec NUM
110,1,my access password reset
111,2,general error service is unavailable please try again after 24 hours
112,2,push through fetch tv order in dpm
113,1,my access password reset
114,2,stb stuck in dpm
115,2,re email bill notification not updated
116,2,tv migration problem
117,2,unable to book fetch tv
118,2,my app wont refresh
119,1,my account account linking
120,1,unable to view me2u in my account incomplete details
121,0,incident follow up NUM
122,2,ob portal password reset
123,2,perks error
124,2,query for pending fetchtv
125,2,customer not receiving fetch tv yet
126,1,my access password reset
127,1,customer login issue in my account
128,0,dpm peinding prder
129,1,unable to login to member services account
130,2,prepaid ca retrieval for worder ajpirbd001
131,1,unable to change the password in my account
132,1,customer having issue accessing member service page log a ifms ticket
133,2,dpm order in na status
134,1,my access password reset
135,4,free bundled caller id and autoroam not provided upon recon of combo 12
136,1,forgot password singtelNUM
137,2,order stuck in dpm
138,6,migs patching request for txn date 6 feb
139,1,customer webmail password reset member services login id waymur
140,1,unable to checkout keep being redirected to myaccount cemNUM
141,2,service error dpm not working
142,1,zoopassword reset
143,2,dpm error set top box already delivered last NUM but customer didnt receive
144,2,business portal password reset
145,1,user unable to impersonalise cust account via my account
146,1,unable to switch user from paper bill to email bill for home phone sevice
147,2,non tally singtel apps mr hu changchun gNUM NUM NUM
148,1,my account error
149,2,dpm error
150,2,dpm unable to add the pack
151,2,unable to book a fetch tv
152,2,dpm unable to place order
153,1,my access request to reset the password
154,5,wifi talk app issue cannot activate
155,1,my access account
156,0,caterina barile NUM
157,1,when cust logs in to my account it asks for the account to be linked
158,1,sos password reset
159,0,my singtel ipad mr chia chee yee mt NUM
160,1,unable login to my access
161,1,customer unable to view pdf file for bill in my account
162,0,zoo member services
163,2,dpm issue
164,1,link account number to my account
165,0,usage meter
166,5,fwd ticket NUM problem mio ingest error reported on thinklrn01intsi
167,1,my account issue case closed
168,2,my app issue urgent
169,1,billing is still being sent to old email via my account
170,2,pending order in dpm NUM
171,0,ca request for NUM
172,2,dpm issue NUM urgent
173,1,my access password reset
174,1,request to reset my access password
175,4,my app data not updating
176,5,unable to generate a new token for customer
177,1,my access password reset
178,6,migs patching request
179,1,my account issues
180,2,ob portal password reset for stuartmcrobertagriculturegovau
181,6,arbor not receiving the bill in email
182,1,customer unable to login member service
183,1,zoo request to reset the password
184,1,dpm password reset
185,1,my account issue
186,1,zoo password reset
187,2,push order for fetch tv
188,1,issue with my account of the customer
189,1,my access request to reset the password
190,2,robyn l page stb tracking not available
191,1,my access password reset
192,1,my access password reset
193,4,customer my apps showing only 1gb share data allowance
194,2,dpm pending order NUM push
195,1,user request to update his name in my account
196,1,unable to change password in my account
197,2,dpm unable to sen a set top box
198,1,uhh yes pass password reset
199,1,issue with access to my account
200,2,dpm issue
201,1,email billing registration issue in my account
202,1,customer unable to login my app
203,5,bein sports channel package
204,2,reloading of errored files on ar loader problem type
205,1,my access password reset
206,2,dpm error pending cancellation
207,2,customer getting issue payment not update
208,2,fetch delivery NUM
209,5,facebook usage deducted from prepaid data plan instead facebook plan
210,1,zoo csi password reset
211,2,mobile prepaid sim card activations via one portal are failing
212,2,user unable to login ob portal
213,1,zoo csi password reset request for harold solanocpNUM
214,1,my account error
215,1,password reset for sos
216,2,unable to update email billing
217,1,my access password reset
218,4,my app data usage is not updating
219,2,idw has received two sets of files for 14th
220,1,my access password reset
221,1,my access password reset
222,1,unable to login to my account
223,2,ems iphone 6s launch issue msa20 eshop production
224,1,my access issue
225,1,my access passowrd reset
226,1,account number NUM
227,1,my account unable to link account no and email
228,2,extract the msisdn for the bbom transactions
229,1,unable to login to jira
230,2,dpmpending delivery fetch tv
231,2,order for fetchtv is stuck
232,1,user user cannot view some changes request
233,1,my access password reset
234,1,my access password reset
235,1,dpm password reset
236,1,my account web error issue
237,0,mtsc
238,2,arbor billing problem
239,2,error occurring when completing a prepaid activation NUM
240,1,dpm password reset
241,1,my account issue
242,1,my account change of billing type
243,1,customer unable to login my account
244,2,dpm error pending cancellation
245,2,order sucked in dpm
246,1,zoo password reset
247,1,user unable to change email billing
248,5,wifi talk issue
249,2,sim card crd date sNUM easy mobile salescancelation simcard order
250,2,mr kerk hong cheong NUM my singtel application
251,1,my account issue
252,1,zoo password reset
253,2,dpm order pending
254,1,my account keep asking for changing the passsword
255,4,not receiving 4g data for this month
256,1,customer got logged out automatically when log in to my account
257,2,case update for NUM requestor inquired for ticket issue status
258,2,dpm order issue suspended account
259,1,my access unable to login
260,2,unable to link service in my access jporterNUM
261,2,undo cancellation of dpm order NUM
262,2,unable to place an order via dpm
263,2,dpm service error service is unavailable please try again after 24 hours
264,1,customer unable to login my account lindommer
265,2,new stb which is still stuck in pending
266,5,unable to download my app
267,0,customer not receiving discount for mobileshare
268,2,pending fetch tv
269,2,dpm error
270,1,reset password for dpm
271,5,customer cannot accept transfer of ownership viamiss lim jee ping susanna NUM
272,2,dpm error
273,1,zoo password reset
274,1,my account customer unable to send sms
275,1,unable to log into yes pass deNUM
276,1,zoo csi password reset
277,3,unable to switch to email bill for customer
278,1,zoo password reset siddharthvisa wtpy4tpk
279,1,zoo password reset
280,2,push order in dpm username shingheileung
281,1,my access password reset
282,2,one portal and zoo csi issue currently unavailable
283,1,unable to login to zoo
284,2,dpm olNUM error
285,2,fetch tv error
286,2,voiceeasy online prepaid top up debit cards enquiries NUM
287,2,unable to order fetch box
288,1,my account no details showing for NUM
289,1,my access password reset
290,2,dpm system error acct
291,2,member services error
292,1,my access
293,1,re account number NUM
294,2,please retrieve ca details for sos rec NUM
295,4,my app data usage not updating
296,2,pending fetch tv order in dpm
297,2,mobf existing microsim customer not provided with change sim when ci to nanosi
298,2,failed file transfer
299,2,prepaid ca retrieval for worder ahoohfv001
300,2,order stuck in dpm
301,0,member services gets redirected NUM
302,2,dpm order stuck on pending status on delivery history
303,2,ob portal password reset
304,3,unable to switch to email billing
305,3,re unable to switch off paper bills
306,1,my account issue when user trying to login received error
307,1,zoo password reset
308,1,my account customer details not updated and showing
309,5,re unable to retrieve report for may NUM singtelNUM
310,1,unable to link to acc number NUM to my account
311,2,dpm error for mr john williams NUM
312,4,data incorrect showing incorrect in my app
313,2,metv cancellation
314,1,member services to myaccount migration
315,2,re re bills tNUM
316,2,unsuccessful delivery fsNUM
317,1,my access password reset
318,2,metv cancellation
319,2,dpm metv
320,1,my account unable to switching email billing mpoggenberg
321,5,stop staff family sales report showing duplicated records per order
322,1,update this customer email goldielocksleegmailcom with meleesuminnet
323,1,new joiners not appearing in my access
324,1,my access password reset
325,2,status of stb order
326,1,my access password reset
327,2,please retrieve ca details for sos rec NUM
328,1,my access password reset
329,1,unable to access zoo
330,2,dpm issue
331,1,unable to access live chat feature on my app
332,2,unable to register for my app
333,0,customer didnt received usage alert
334,1,customer being logout when login to my account
335,2,customer not getting paper billing
336,0,NUM mt NUM did not received otp
337,2,dpm general error service is unavailable please try again after 24 hours
338,2,dpm fetch tv pending NUM
339,1,my account issue
340,1,unable to switch customer account to email billing
341,1,unable to login marjorie p llanza cemNUM
342,1,my access password reset request
343,2,my business portal password reset
344,2,push pending fetchtv order
345,2,prepaid amta process issue
346,1,unable to see account details in my account
347,2,general error service is unavailablesturmrolf
348,2,pending order in dpm pending status account NUM
349,2,my app issue
350,2,build up of transactions in eip
351,2,waverley council with uid NUM monthly invoices
352,1,my access password reset request
353,1,nable to personalize password
354,1,member services account billing error
355,1,my access password reset
356,2,error occurring when completing a prepaid activation
357,2,customer unable to view international call minutes on my app
358,1,password reset
359,1,myaccount automatically logs out
360,2,customer cannot reregister to my app
361,1,my access account unlock
362,1,my account error
363,1,my account and my app issue
364,2,dpm issue
365,1,password reset sos my access 1impersonation tool spectre ui
366,2,fetch tv order pending johnsmednetcomauNUM
367,2,customer unable to subscribe for online billing
368,1,myaccount unable to change password
369,1,issue accessing zoo
370,1,my account issue
371,1,uhh ref to forgotten password link
372,1,customer my account the plan details not updating
373,2,billing activation error
374,1,my access password reset
375,5,fusion port away
376,2,customer cant view the recharge history in billing and payments tab from my acc
377,6,customer not receiving an email billing
378,5,help documentation page broken within ob portal
379,2,one portal query
380,2,pie error
381,1,my accountincorrect data
382,2,metv error
383,5, java langinstantiationexceptionorgspringframeworkcoreconvert
384,1,my access password reset
385,2,metv cancellation
386,2,my app issue cannot recharge
387,1,my access password reset
388,5,incorrect norfolk island call costs in application
389,2,dpm issue
390,1,request to reset my access password
391,2,dpm the order got stuck in the system
392,2,mt NUM cannot view usage thr st app
393,1,zoo password reset
394,2,fetch order pending in dpm
395,1,my account issues NUM
396,1,billing activation for my account
397,1,my access password reset
398,1,unable to link service number in my account
399,2,new links not appearing for mobile
400,4,my app wrong details for included data values
401,2,dpm order pending
402,1,my access login issue
403,1,customer without active msa login detected
404,1,customer not able to register for my account in member services penny osborne
405,2,metv error
406,0,user called to follow on case NUM for onepay portal
407,2,failed file transfer
408,1,not authorised you dont have permssion to perform this action
409,2,unable to activate sim
410,2,dpm order NUM bryanrush
411,1,my accountsmy app usage details not updating
412,1,customer not able to logon to member services and my account
413,2,re my portal ftthNUM
414,1,customer unable to access my apps
415,2,my app error not available at this time please try again
416,2,re 4d toto and big sweep results not received
417,1,my access password
418,6,customer preferred communication method via email
419,1,zoo password reset
420,2,member services due to a system issue we are not able to proceed at this time
421,1,account is not adding up
422,1,user stuck under provision since 2nd july singtelNUM
423,2,dpm error
424,0,mobf voucher not prompted in buyflow liew wei qi
425,1,request to correct account number linked to customers account
426,2,unable to register member service
427,1,unable to access to webmail
428,1,unable to link my account
429,2,dpm errorfetch tv
430,2,metv error
431,1,my access password reset
432,2,sme eshop orders from newnew cust
433,2,wreblog01m failed with status 255
434,2,member service unable to change the email id
435,2,me tv cancellation
436,2,error message in dpm
437,1,unable to see home phone bill on my account
438,1,unable login to my access
439,2,dpm issue
440,2,ob portal password reset
441,2,pending fetch tv order
442,1,sos password reset
443,1,zoo csi password reset
444,1,my access password reset
445,2,activation code
446,0,NUM fw NUM urgent
447,2,error occurring when completing a prepaid activation
448,1,my account issue
449,1,my account thrown out when switching to email billing
450,1,zoo password reset
451,1,my access sos password reset
452,1,my account linking
453,1,my access password reset
454,2,speed test wont load
455,1,refer to cars for zoo csi new account
456,2,dpm error
457,0,dash topup not successful dbs bank 65xxxxNUM
458,2,create id and grant server access for techm my portal application
459,1,account number NUM mt NUM
460,2,eip eipprdappaNUM prd grb throttle queue count exceeded thresh
461,1,my access password reset
462,1,unable to change the email address for customers my account
463,1,my access password reset
464,2,stuck dpm order
465,1,my account issue mobile number NUM
466,1,zoo password reset
467,3,unble to switch to email billing NUM
468,2,ebill set up issue
469,2,unable to access yes central and personal hub
470,1,my access password reset
471,1,my account issue
472,1,dpm password reset
473,1,my account cust not able to see bills white blank page
474,2,pending order in dpm for fetch tv
475,2,unable to access yes central and personal hub
476,0,dpm NUM
477,5,prepaid customers unable to view partition balances
478,2,dpm error fetch tv order
479,2,icon issue
480,2,my app issue
481,1,my access fuli password reset request
482,1,unable to log in to dpm
483,2,not able to logn to member services
484,2,pending order in dpm
485,1,zoo csi password reset
486,2,crdNUM query boon li hui betty sNUM NUM svc NUM
487,2,dpm pending cancellation
488,6,unable to register for email billing
489,2,users are experiencing application performance issues
490,2,my app still not working on customers phone
491,1,unable to login to my account
492,1,unable to register email bill in my account NUM
493,1,unable to login to my access
494,1,replicate my access account of marc edmonds to blue nolan
495,1,sos password reset
496,1,zoo password reset
497,2,dpm delivery
498,2,my app issue unable to pay bill
499,4,my app data usage not showing
500,1,unable to update password in my account
501,1,my account is not showing anything
502,1,my access password reset
503,1,my access login issue 
504,2,dpm issue sonex qld pty ltd NUM sonex2
505,0,mt mobile service NUM
506,0,this is a reference call only asking why the ticket was closed
507,2,fetch tv order issue
508,1,my account issue
509,2,member service issue
510,2,me tv cancellation
511,1,unable to login to member services but able to login to webmail
512,2,cancel the current pending cancellation fetchtv
513,0,account query
514,1,my access password reset
515,2,dpm pending needs to push thru order number NUM
516,1,my account customer is unable to change the password
517,1,my access password reset
518,1,user getting error in dpm
519,1,my account display previous account number for customer
520,1,my access password reset
521,2,metv error general error service is unavailable please try again after 24hrs
522,6,unable to activate email bill meiqinli
523,2,dpm fetchtv order not progressing NUM urgent
524,5,dpm portal keep on loading
525,2,2 profiles for ob portal for user
526,2,fetch order didnt flow through to sap
527,1,password reset
528,0,NUM thanh nguyen
529,1,my account dashboard issue
530,1,cable username not showing in my account
531,2,ob portal password reset
532,1,my account issue
533,1,unable to link cable service in my account
534,2,dpm fetch stuck
535,2,very urgent mysingtel app unable to view usage
536,1,account follow up
537,2,prod singtelshop non processed order
538,2,please retrieve ca details for sos rec NUM
539,1,my access password reset
540,1,my access request to reset the password for traineess
541,2,taop free gift badge and free gift tab missing in eshop NUM
542,1,user request for sos password reset
543,2,me tv cancellation
544,2,incident update for ticket NUM
545,1,sos password reset
546,2,nbihelp and support search issues
547,4,wrong data allowance in myapp
548,1,zoo password reset
549,5,unable to view balance in my app
550,2,pending order NUM
551,1,myaccountmyapp issue not updating
552,2,cricket australia registration error
553,2,my app issue NUM
554,1,issue in my account
555,1,my access password reset
556,2,dpm error need more info
557,4,mobile share only can see data usage but nt talktime and sms usage NUM 97
558,5,updates to combo plans page
559,1,my access password reset
560,1,member services unable to login
561,2,cust not received fetch tv
562,5,error occurring when completing a prepaid port in
563,1,my access request to reset the password
564,1,my apps customer logon bu then logout back
565,1,the account is not linked
566,2,dpm issue NUM
567,2,my app issue
568,1,my access password reset
569,2,cust not eligible for tv
570,1,inquiry about generic accounts
571,2,unable to deselect autoroam despite error message prompting customer to unselect
572,1,error in linking my account
573,4,data usage error
574,1,my access password reset
575,2,new ipad mini 4 pegasus equipment missing
576,2,me tv cancellation incomplete details
577,1,unlock nt account
578,1,my access password reset
579,1,my access password reset
580,4,incorrect data in the file
581,1,my access password reset
582,6,unable to setup email bill in member services NUM
583,1,my account issue
584,4,incorrect data in my app
585,2,dpm stuck order
586,1,password reset in my access
587,1,dpm password reset request
588,1,ebpp tm tasks reloading of error files on user loader
589,1,member services unable to change password
590,2,dpm error
591,2,unable to book in dpm
592,1,error when logging in to my account online
593,4,unable to submitt the fetch order
594,2,unable to access yes central and personal hub
595,5,one portal intermittently unavailable
596,2,arbor customer billing issue
597,1,unable to reset customers password
598,1,password reset
599,2,fetch tv to be booked
600,1,user unable to link the customer in my account
601,1,my account issue
602,6,email billing
603,1,cant add secondary username
604,1,zoo request to reset the password
605,1,passord reset
606,2,incident update NUM
607,5,fusion port away
608,5,mopr customer with 6 existing lines managed to sign up 4 new mobileshare lines
609,1,my account unable to link account
610,2,fetchtv order not yet delivered
611,2,stb stuck in dpm
612,2,error occurring when completing a prepaid activation
613,1,my account issue
614,6,re migs patching request for txn date 2 4 oct NUM
615,2,error in dpm
616,1,my access password reset
617,1,my account no option for my email account to change webmail password
618,2,ebilling unable to setup
619,1,sos password reset
620,1,customer request to change the name in my account
621,1,webmail customer is unable to login
622,1,unable to access obbpm
623,1,my access password reset
624,1,my account issue
625,5,moti unable to purchase online as site is down liza bte jarmin
626,1,my access password reset
627,1,t90 self service password reset
628,2,dpm error customer still not receive the fecth tv
629,2,customer didnt received fetchtv
630,2,cannot retrieve information to NUM
631,1,unable to login to my access
632,2,ob portal password reset
633,1,my account request to remove email address
634,1,my access acct unlock
635,1,unable log in my account
636,1,unbale to link customer account
637,2,cust cant register in member services
638,4,wrong data usage being displayed via my app
639,0,send mobile NUM mr liew nam shin
640,1,my account issue
641,1,cust unable to login my account
642,1,customer my account automatically logout
643,1,zoo request to reset the password
644,1,zoo password reset
645,1,my access password reset
646,1,my access password reset
647,0,NUM
648,1,my access password reset
649,1,cant activate email billing in my account
650,4,unable to cancel entertainment pack
651,2,moti unable to recontract melvin rajesh s o chandrasegaran
652,2,mobf prepaid flow status david NUM cemNUM feedback form
653,6,reset customer email kcowan7netcomau
654,1,request to cancel duplicate my account login
655,2,app launcher in personal hub for the user is blank
656,2,unable to setup for ebilling
657,1,my access sos password reset
658,2,apps not updating
659,1,my access password reset
660,2,app and nexu info for NUM
661,2,ivr files missing
662,2,my app issue
663,1,my access password reset
664,1,my access password reset
665,6,migs patching request
666,0,NUM escalation
667,1,my account cust gets automatically logged out
668,1,my access
669,2,apps issue
670,1,ebpp tm tasks reloading of errored files on user loader
671,2,unable to place fetch tv for customer
672,0,incident on icaps to set and get httpservletrequest attributes
673,0,production handset stock miscount
674,1,cricket access issue
675,0,incident follow up NUM
676,2,dpm request to cancle the metv
677,2,set top box need more information
678,2,billing issue
679,1,customer unable to login my account
680,1,sos password reset
681,1,user cannot login to my account
682,1,member services password reset
683,2,dpm order NUM pending status
684,1,my account error
685,1,zoo reset password
686,1,issue with my account
687,1,my app login error a valid number should be entered
688,1,my access password reset
689,1,my access login issue
690,1,my account unable to link
691,2,unable to change delivery pattern
692,2,references with the same case NUM
693,1,unable to switch the customers account to email billing
694,1,my account error email billing
695,2,order stuck in dpm
696,1,my access password reset
697,2,ob portal password reset
698,2,dpm cancel order
699,0,ipnmcNUM kellym
700,1,account linking error
701,2,sconsumer eshop l2 coneshopl2singtelcomts april red alerts loading speed a
702,2,issue with the my app
703,1,email billing issue in my account
704,1,sos password reset
705,1,request details of bill reset details of royei magami
706,1,customer cannot login to my account
707,1,zoo csi password reset
708,5,unable to register to wifi talk
709,2,updated case id NUM
710,2,unable reset webmail password via member services
711,2,push order in dpm
712,2,ob portal password reset
713,6,unable to receive email billing
714,2,repaid ca retrieval for worder ajovgme001
715,2,pending order in dpm mearnold
716,1,dpm password reset
717,2,unable to book fetch tv
718,1,zoo csi account unlocked
719,1,my access password reset
720,1,unable to login to my account
721,1,dpm username cheryldon3 showing up incorrect customer and account num
722,2,dpm error
723,1,unable to access wiki
724,1,my access password reset
725,1,zoo csi password reset
726,2,email billing issue
727,1,my access password reset
728,2,prepaid activation error
729,1,fusion flag and account type mismatch
730,1,request to reset zoo
731,1,my account received error
732,1,myaccess password reset
733,5,fusion port away me tv cancellation
734,2,bizportal password reset email singtelNUM
735,1,password unlock for csi
736,1,request to reset the dpm password
737,1,issue with my access profile
738,4,unable to access dpm network server failure
739,1,request to reset my access password
740,0,3 simcards not found fsNUM ppNUM ppNUM
741,1,my access reset password
742,1,my access password reset
743,0,ob portal login issue
744,2,dpm pending order
745,1,my account logout automatically
746,1,my access password reset
747,1,unable to change password for my account
748,5,ebpp tm tasks reloading of errored files on ar loader problem type reportmon
749,6,unable to register customer for email billing
750,1,my access password reset
751,1,customer unable to login to my account
752,1,my access password reset request
753,2,mtv cancellation
754,2,dpmunable to cancel customer metv service
755,6,unable to obtain softcopy singtel bill for filing of hp claims
756,5,late generation of daily unique customer report
757,2,ebilling customer unable to sign up register member services
758,5,my app incorrect balance showing
759,2,unable to access yes central and personal hub
760,2,orders without the product code
761,2,me tv order is stuck in the system please push the order through
762,1,my account and link their account number
763,2,my apps issue
764,4,focus middleware ohunNUM filesystem fcsmwa00 freespace is l
765,1,user unable to change the bill type
766,2,dpm error transfer of tv service failed
767,2,my app issue
768,2,nftorders are failing with error not found
769,2,customer not receive the paper billing
770,1,my access password reset
771,2,me tv cancellation
772,1,issue my account billing type
773,2,costumer status is still pending since order date NUM
774,1,my app my account details not updated
775,2,cmbs fusion flag mismatch
776,2,eip eipprdappaNUM tibprd the number of workitems in iprocess
777,1,unable to log in to my account
778,1,account number NUM mt NUM
779,1,unable to view myaccount NUM
780,1,difficulties viewing bills online via my account
781,2,need to remove NUM from rosinskyNUM
782,1,my access password reset
783,1,dpm password reset
784,1,zoo csi password reset request
785,4,member services request to update data cycle
786,2,unable to transfer the tv to customer
787,1,customer unable to view expiry date in my account
788,4,unable to check data usage
789,2,error when setting up email billing
790,1,my access password reset
791,1,my access password reset
792,2,prepaid amta process issue
793,2,fetch tv order was placed on NUM is under na status
794,2,my app error
795,1,sos password reset
796,1,account linking error
797,2,customer is unable to purchase premium sms
798,1,cust cannot change her mailbox password via myaccount
799,2,cannot order fetch tv in dpm
800,1,my account customer not recivcing bill
801,2,fetch tv order still not delivered to customer
802,2,dpm order cannot be push thru
803,1,my account issue
804,2,change primary number
805,2,fetchtv
806,2,order is stuck in pending status in dpm
807,4,dpm it escalation template
808,2,my app application is not refresh
809,1,my account issue
810,2,dpm orders NUM
811,1,my access
812,0,chuacg03 my portal login issue
813,2,fetch tv
814,1,my access password reset
815,2,reference case NUM dpm issue
816,2,my app issue
817,0,showing incorrect service
818,1,member services customer is unable to login
819,2,eshops NUM onl customer id NUM mobile number NUM
820,2,unable to book fetch tv
821,2,unable to use NUM
822,2,my app issue
823,1,user unable to add customer
824,1,my access password reset
825,1,user unable to login to yes pass
826,1,my access password reset
827,2,dpm order is pending
828,5,my hi account weekly statistic report from NUM to NUM 6
829,1,my access password reset
830,2,stb pending order
831,1,my access password
832,1,customer myaccount automatically logs out
833,1,customer cannot login to my app
834,4,my app is not updating data usage
835,2,dpm order pending
836,4,top sql for ebp1p database
837,1,linking issue via my access NUM
838,1,my account linking is not alllowed as there is no nNUM access role
839,4,focus middleware focus siebel chunNUM inactive mtsgrp2 in el
840,2,eip eipprdappaNUM prd grb throttle queue count is greater than
841,2,reloading of error files on ar loader
842,1,zoo password reset
843,2,mobf customer unable to key in address in buyflow 2 changi business park
844,1,my account registration
845,1,my access
846,1,my access password reset
847,2,order is pending in dpm fetch tv
848,1,my account issue kathygreenNUM
849,0,dpm request to chase on this request for dpm
850,1,my account customer is unable to login properly to the system
851,2,mcchgmo01r error with status 1
852,1,customer has incorrect data usage summary in my account
853,1,sos my access password reset
854,0,NUM sera khaira
855,1,my acccount the username or email address doesnt seem right
856,1,zoo password reset
857,1,customer will automatically get logged out from my account
858,2,member service issue
859,4,unable to check data usage and set limits via mysingtel app for sub lineNUM 73
860,1,my account issue
861,2,error occurring when completing a prepaid activation
862,1,my access request to reset the password
863,1,my access password reset
864,1,receive error when reset password
865,2,voiceeasy online prepaid top up debit cards enquiries NUM
866,1,my access password reset
867,2,dpm cancellation pending
868,1,zoo csi account
869,2,dpm hardware delivery
870,1,unable to register customer on my account
871,1,sos password reset
872,2,please retrieve ca details for sos rec NUM
873,1,my access password reset
874,0,ebpp incorrect service
875,2,dpm metv service order
876,1,my access password reset
877,2,dpm general error
878,2,fetchtv issue
879,2,unable to change the service to paper bill
880,5,dpmunable to activate entertainment plan
881,1,my access issue
882,2,confluence increase upload file size
883,2,dpm error
884,2,dpm transfer of tv service failed
885,1,my account issue
886,6,email bills
887,1,zoo password reset
888,2,ebpp tm tasks request for invoice loader stats
889,1,my account not showing any data usage
890,1,my access password reset
891,2,imsi mismatch between hdm femto and hlr finder
892,1,zoo password reset
893,3,wbusrpf01d odate NUM failed at 14 oct NUM
894,2,customersmr wu xin mt NUM keep receiving sms alert from singtel my bill
895,4,focus middleware stuck in submit recharge event to staffware
896,2,ob portal password reset
897,2,unwanted technical information is displayed at top right side on secure checkout
898,2,dpm order error ottrecoverableerr pottNUM
899,2,mt mobile service NUM not able to make payment via mybill
900,2,my business portal password reset
901,2,fetch tv to be push thru
902,1,my access unable to login to the system
903,2,fetch tv order stuck
904,2,customer unable to loading my app
905,6,unable to provide email bill for customer
906,2,unable to login to one portal
907,1,my account unable to see active service link on dashbord
908,1,request to reset password for my access
909,5,report service portal osp faultcustomer acciona infrastructure austral
910,1,my access
911,5,no data showing on my app for the balance and usages
912,2,dpm errorunable to book the fetch tv
913,1,customer is unable to login to my account
914,1,eip password reset username ganapag
915,1,my account issue affected customers
916,2,stuck pending order in dpm rodney lloyd acc NUM
917,1,my account issue
918,1,customer unable to login into my account
919,0,feedback on hi card product
920,2,general error service is unavailable please try again after 24 hours
921,1,zoo csi password reset
922,1,my account payment pending transactions showing
923,1,my access password reset
924,2,fetch tv not progressing
925,1,customer cannot log into my account
926,2,dpm order error for username markyoungNUM
927,1,unlink account in my account
928,0,smiths detection asia pacific pte ltd brn NUM
929,6,customer didnt received email billing
930,2,dpm error order cannot process and error message always appear
931,5,unable to register to wifi talk
932,4,dpm unable to cancel service dimaher
933,2,pending order wilsond4
934,2,unable to logon to my business portal
935,1,unable to switch the customers account to email billing
936,5,wifi talk keeps on failing
937,2,fetch tv delivery not sent
938,1,re singnet wendyue ts ftth NUM unable to log into sing
939,0,ivr voice saying null while reading customer cc number
940,1,my access password reset
941,1,request to reset my access password
942,1,unable to access my access
943,1,unble to login to customer account
944,1,zoo password reset
945,1,my access password reset
946,1,my account email bill registration issue
